ID	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29
let-7a	865	810	5505	6692	1456	588	9	4513	1962	10167	4113	2610	5008	580	667	6731	3671	3276	4910	5876	3877	7516	4930	3755	267	56824	16115	5293	38	3343	4990	5193	1464	5342	434	1502	34	2390	3996	687	1780	1030	3459	2520	314	1512	447	2744	37	3174	116	1722	68	12121	14398	39196	198	1422
let-7a*	3	12	30	73	6	2	0	199	10	173	30	105	71	21	7	738	1051	476	568	643	175	767	48	76	3	237	103	100	14	12	99	15	12	32	0	18	4	19	22	1	58	18	732	88	42	98	5	184	0	648	4	212	6	2	80	164	18	1
let-7b	975	2790	4912	24286	1759	508	33	6162	1455	18110	8862	12481	21641	8320	918	43582	33730	40209	80226	55768	31744	71032	5486	6932	1162	59593	15126	5949	103	4217	41617	5152	2536	4551	980	3398	102	2220	5404	995	12729	3030	108332	6996	938	5685	654	15489	99	102358	184	28274	401	14471	24097	73139	669	2492
let-7b*	15	18	27	119	11	3	0	116	17	233	40	180	288	63	12	468	479	396	470	686	129	673	65	83	18	430	155	64	194	8	148	14	8	29	5	5	2	16	24	3	54	4	308	49	12	51	8	106	0	334	1	189	5	34	115	230	4	15
let-7c	828	1251	2973	6413	713	339	23	2002	476	3294	5929	1816	3278	573	303	4670	2203	3096	5162	4537	3217	5675	1411	3477	371	37225	10206	2966	25	519	4664	1274	297	673	749	168	28	584	4118	999	2210	1697	5775	2839	130	762	157	974	34	1711	22	3127	199	3186	1454	5883	167	321
let-7c*	0	0	0	1	0	0	0	3	0	3	0	0	3	0	0	20	2	6	1	18	6	11	1	5	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	8	2	0	0	0	1	0	4	0	2	0	0	1	1	0	0
let-7d	71	98	364	1890	188	47	1	719	204	1425	507	621	1078	1447	35	3154	2124	1684	5535	2000	12669	4874	380	365	25	5420	938	362	96	398	6649	248	285	169	13	276	2	822	109	40	3978	32	2618	84	11	1885	197	8359	1	2909	6	2360	3	529	2849	4937	21	154
let-7d*	3	24	8	41	8	2	0	38	18	77	19	88	187	36	20	287	222	242	294	264	73	250	40	51	7	265	61	26	1	1	15	2	1	2	2	2	0	2	26	5	13	6	74	21	0	20	4	15	0	95	4	35	21	14	26	18	2	0
let-7e	169	151	788	5801	308	121	9	1912	204	2943	1089	3255	5768	1319	95	11765	8011	9964	21923	13716	4659	14414	972	1498	33	9734	2755	733	4	244	2374	556	58	512	299	268	20	220	1631	160	990	927	9895	1342	98	278	36	1026	172	10326	312	812	38	4250	942	2388	69	25
let-7e*	0	1	1	7	1	0	0	14	1	4	9	10	22	3	1	68	65	38	42	84	8	78	5	5	0	20	15	3	0	0	6	1	0	3	0	1	0	0	1	3	1	2	38	4	0	0	1	1	0	53	2	2	0	1	2	7	0	0
let-7f	569	192	3497	14486	1134	358	1	4252	1148	8014	5765	5662	6324	2699	402	23502	24312	17660	37513	12618	19134	28917	3860	2423	53	40307	7986	2260	19	1739	16395	5287	627	5631	117	1103	24	1619	1209	400	3569	341	20389	736	152	3745	312	11095	5	26601	58	1905	35	7172	6143	10385	52	310
let-7f-1*	1	1	1	18	8	0	0	45	1	35	11	25	31	11	4	277	302	97	205	147	39	167	8	27	0	82	26	21	2	3	28	6	6	8	0	4	0	9	3	1	14	3	105	14	5	60	8	71	0	139	1	90	1	0	35	40	5	0
let-7f-2*	0	1	2	3	1	0	0	7	0	4	6	7	3	2	0	24	41	16	17	20	8	47	2	1	0	11	10	5	3	0	7	0	1	2	0	0	0	0	0	2	5	0	38	5	0	6	1	10	0	41	0	3	0	0	4	8	0	1
let-7g	447	173	1922	4062	493	124	8	1045	421	2086	1704	2392	1295	832	57	4097	6926	5677	8095	3468	5823	7199	1323	610	36	17986	2678	455	126	737	4141	3760	253	3889	61	604	24	274	203	117	1305	37	6886	197	22	1483	104	4956	9	8571	8	734	5	1407	1463	3444	13	2081
let-7g*	0	0	2	4	1	0	0	2	0	2	2	2	6	1	0	18	19	14	23	9	0	34	3	1	0	21	1	1	0	1	2	0	0	5	1	2	0	0	0	0	0	0	78	5	1	1	0	2	0	80	0	6	0	8	0	10	1	0
let-7i	241	304	912	3867	447	89	7	639	386	1651	2958	3507	4983	2923	201	5654	5481	8877	11665	3662	3655	5080	602	738	174	16844	1555	433	6	1117	7563	2864	539	1424	90	1284	15	574	319	206	5536	307	23552	680	114	2937	421	7416	13	33659	15	2609	132	9452	5920	5674	53	151
let-7i*	1	6	4	18	8	2	0	15	4	23	7	92	74	22	1	85	101	94	110	54	9	66	7	21	15	169	21	2	11	7	28	4	7	0	3	11	0	0	1	1	43	7	265	28	3	16	3	28	3	283	0	21	2	29	49	23	0	1
miR-1	151	71	352	3835	127	36	0	409	15	674	1046	1585	1713	199	1224	4498	7328	3462	11508	1345	255	3989	294	447	9	10200	720	82	0	13	111	39	0	17	29	0	0	5	86	146	51	24	296	5	0	1	4	55	0	1733	2	31	14	179	7	56	1	0
